Unnamed: 0,id,POINT_Y,POINT_X,geometry,index_right,postcodes
3252,3252,53.33274662,-6.324050868,POINT (-6.324050868 53.33274662),4,Dublin 12
3253,3253,53.33297309,-6.324020282,POINT (-6.324020282 53.33297309),4,Dublin 12
3254,3254,53.33334531,-6.324041837,POINT (-6.324041837 53.33334531),4,Dublin 12
3255,3255,53.33342261,-6.324023016,POINT (-6.324023016 53.33342261),4,Dublin 12
3256,3256,53.33351594,-6.324047735,POINT (-6.324047735 53.33351594),4,Dublin 12
3257,3257,53.33355065,-6.324058192,POINT (-6.324058192 53.33355065),4,Dublin 12
3258,3258,53.33358366,-6.32424073,POINT (-6.32424073 53.33358366),4,Dublin 12
3259,3259,53.33359333,-6.324060094,POINT (-6.324060094 53.33359333),4,Dublin 12
3260,3260,53.33360453,-6.324165905,POINT (-6.324165905 53.33360453),4,Dublin 12
3261,3261,53.33364512,-6.324070552,POINT (-6.324070552 53.33364512),4,Dublin 12
3262,3262,53.33372489,-6.324141187,POINT (-6.324141187 53.33372489),4,Dublin 12
3263,3263,53.33375452,-6.324057836,POINT (-6.324057836 53.33375452),4,Dublin 12
3264,3264,53.33375736,-6.324012201,POINT (-6.324012201 53.33375736),4,Dublin 12
3299,3299,53.326328,-6.318261495,POINT (-6.318261495 53.326328),4,Dublin 12
3300,3300,53.32651373,-6.318480603,POINT (-6.318480603 53.32651373),4,Dublin 12
3301,3301,53.32654835,-6.31830526,POINT (-6.31830526 53.32654835),4,Dublin 12
3302,3302,53.32681502,-6.320207349,POINT (-6.320207349 53.32681502),4,Dublin 12
3303,3303,53.32688617,-6.320010075,POINT (-6.320010075 53.32688617),4,Dublin 12
3304,3304,53.32690751,-6.32008851,POINT (-6.32008851 53.32690751),4,Dublin 12
3305,3305,53.32711863,-6.318981146,POINT (-6.318981146 53.32711863),4,Dublin 12
3306,3306,53.32713091,-6.318797909,POINT (-6.318797909 53.32713091),4,Dublin 12
3307,3307,53.32713518,-6.318610142,POINT (-6.318610142 53.32713518),4,Dublin 12
3308,3308,53.32716649,-6.318824053,POINT (-6.318824053 53.32716649),4,Dublin 12
3309,3309,53.32718498,-6.318446143,POINT (-6.318446143 53.32718498),4,Dublin 12
3310,3310,53.32721487,-6.318505563,POINT (-6.318505563 53.32721487),4,Dublin 12
3311,3311,53.32724915,-6.319665643,POINT (-6.319665643 53.32724915),4,Dublin 12
3312,3312,53.32725158,-6.31856831,POINT (-6.31856831 53.32725158),4,Dublin 12
3313,3313,53.32727861,-6.318644368,POINT (-6.318644368 53.32727861),4,Dublin 12
3314,3314,53.32729569,-6.318953351,POINT (-6.318953351 53.32729569),4,Dublin 12
3315,3315,53.32729569,-6.318297355,POINT (-6.318297355 53.32729569),4,Dublin 12
3316,3316,53.32729996,-6.318701411,POINT (-6.318701411 53.32729996),4,Dublin 12
3317,3317,53.3273085,-6.318860656,POINT (-6.318860656 53.3273085),4,Dublin 12
3318,3318,53.32731134,-6.318779845,POINT (-6.318779845 53.32731134),4,Dublin 12
3319,3319,53.32731134,-6.317745938,POINT (-6.317745938 53.32731134),4,Dublin 12
3320,3320,53.3275795,-6.318069266,POINT (-6.318069266 53.3275795),4,Dublin 12
3321,3321,53.32763577,-6.319017525,POINT (-6.319017525 53.32763577),4,Dublin 12
3322,3322,53.32765996,-6.319284439,POINT (-6.319284439 53.32765996),4,Dublin 12
3323,3323,53.32774049,-6.317950915,POINT (-6.317950915 53.32774049),4,Dublin 12
3324,3324,53.32778381,-6.317987344,POINT (-6.317987344 53.32778381),4,Dublin 12
3325,3325,53.32793743,-6.318958105,POINT (-6.318958105 53.32793743),4,Dublin 12
3326,3326,53.32826897,-6.318455412,POINT (-6.318455412 53.32826897),4,Dublin 12
3327,3327,53.32837341,-6.318532918,POINT (-6.318532918 53.32837341),4,Dublin 12
3328,3328,53.3283791,-6.318483005,POINT (-6.318483005 53.3283791),4,Dublin 12
3329,3329,53.32849236,-6.318334196,POINT (-6.318334196 53.32849236),4,Dublin 12
3330,3330,53.32854853,-6.318385255,POINT (-6.318385255 53.32854853),4,Dublin 12
3331,3331,53.32863323,-6.318172573,POINT (-6.318172573 53.32863323),4,Dublin 12
