id,POINT_Y,POINT_X
168875,53.36007483,-6.339439225
168876,53.36008191,-6.339853033
168877,53.36010126,-6.340517941
168878,53.36012029,-6.338398576
168879,53.36012033,-6.33855981
168880,53.36013455,-6.340584841
168881,53.36013455,-6.338236566
168882,53.36014877,-6.340161771
168883,53.36015445,-6.341041186
168884,53.3601573,-6.34123133
168885,53.36016014,-6.339966874
168886,53.36016867,-6.340427973
168887,53.36016867,-6.338165262
168888,53.36017152,-6.337780221
168889,53.36017436,-6.338459985
168890,53.36018005,-6.339054184
168891,53.36018289,-6.338883055
168892,53.36019142,-6.337604338
168893,53.36019995,-6.340713188
168894,53.36020848,-6.340898579
168895,53.36020912,-6.337154885
168896,53.360221,-6.342152102
168897,53.36023408,-6.341288373
168898,53.36024261,-6.338768968
168899,53.36025288,-6.340664105
168900,53.36025852,-6.339325802
168901,53.36026251,-6.337471237
168902,53.36026444,-6.340477811
168903,53.36026536,-6.338407695
168904,53.36026555,-6.33779822
168905,53.36026815,-6.341953873
168906,53.3602682,-6.339087459
168907,53.36027104,-6.3380179
168908,53.36028948,-6.342085785
168909,53.36029251,-6.339940967
168910,53.36029664,-6.338170015
168911,53.36030318,-6.341128177
168912,53.36030318,-6.340932091
168913,53.36030744,-6.340065749
168914,53.36031384,-6.340140618
168915,53.36031597,-6.341352785
168916,53.3603245,-6.340650441
168917,53.3603245,-6.340322443
168918,53.3603245,-6.339780533
168919,53.36032507,-6.337418947
168920,53.36032664,-6.340739571
168921,53.36033383,-6.339508718
168922,53.36033427,-6.34227474
168923,53.36033625,-6.34244498
168924,53.36033943,-6.341078264
168925,53.36034797,-6.341006961
168926,53.36034797,-6.339249319
168927,53.36035067,-6.337970364
168928,53.3603565,-6.341213742
168929,53.3603565,-6.339948097
168930,53.36036204,-6.338902069
168931,53.36036289,-6.339677142
168932,53.36036839,-6.34199309
168933,53.36037569,-6.341352785
168934,53.36037782,-6.340119227
168935,53.36038195,-6.337632859
168936,53.36038422,-6.340263821
168937,53.36038635,-6.340967743
168938,53.36038763,-6.338597839
168939,53.36038849,-6.340436529
168940,53.36038953,-6.342061084
168941,53.36039048,-6.337442715
168942,53.36039275,-6.340867918
168943,53.36039825,-6.342146393
168944,53.36039901,-6.339130241
168945,53.36040038,-6.342331783
168946,53.36040044,-6.341827509
168947,53.36040153,-6.338418044
168948,53.36040342,-6.339552361
168949,53.36040838,-6.338184625
168950,53.36041621,-6.340785918
168951,53.36041856,-6.342695211
168952,53.36042474,-6.341249394
168953,53.36042688,-6.341092525
168954,53.36042688,-6.34062905
168955,53.36043327,-6.340311747
168956,53.36043327,-6.339484622
168957,53.36043327,-6.339242189
168958,53.36043882,-6.338973373
168959,53.36043967,-6.339595143
168960,53.36044394,-6.340222617
168961,53.36044517,-6.342602738
168962,53.36045034,-6.340119227
168963,53.36045304,-6.338274594
168964,53.3604537,-6.342199871
168965,53.36046313,-6.341142438
168966,53.36046313,-6.341031917
168967,53.36046423,-6.337405278
168968,53.3604674,-6.341317133
168969,53.3604701,-6.338768968
