id,POINT_Y,POINT_X
236425,53.40371882,-6.165839342
236426,53.40376768,-6.165788003
236427,53.4039404,-6.165092341
236428,53.40401039,-6.164453036
236429,53.40403311,-6.164543354
236430,53.40403812,-6.165793708
236431,53.40446206,-6.164222486
236432,53.40450317,-6.16352362
236433,53.40451888,-6.163906372
236434,53.40456452,-6.163660741
236435,53.40464671,-6.163887358
236436,53.40465239,-6.164179704
236437,53.40467085,-6.164094139
236438,53.404695,-6.163942024
236439,53.40479818,-6.162934174
236440,53.40481363,-6.163699755
236441,53.40484931,-6.162958893
236442,53.40488908,-6.162943682
236443,53.40490158,-6.162717411
236444,53.40491862,-6.162785862
236445,53.40492153,-6.163911994
236446,53.40492885,-6.162970302
236447,53.40494135,-6.162913259
236448,53.40496635,-6.162985513
236449,53.40496862,-6.162686988
236450,53.40497771,-6.162776355
236451,53.40497998,-6.162563394
236452,53.40498339,-6.162920864
236453,53.40499222,-6.163946755
236454,53.40500406,-6.163633849
236455,53.40502089,-6.162996922
236456,53.40502316,-6.162631846
236457,53.40502884,-6.162538675
236458,53.40503566,-6.162780158
236459,53.40503679,-6.162939879
236460,53.4050382,-6.163920898
236461,53.40504588,-6.162449308
236462,53.40505952,-6.16300833
236463,53.40507429,-6.16295509
236464,53.40508338,-6.162500647
236465,53.40509133,-6.162586211
236466,53.40509247,-6.16269079
236467,53.40509247,-6.162434096
236468,53.40509361,-6.162778257
236469,53.40509815,-6.163025443
236470,53.40512429,-6.162960795
236471,53.40513412,-6.165906559
236472,53.4051436,-6.162464519
236473,53.40514928,-6.162569098
236474,53.40515156,-6.16267748
236475,53.40517201,-6.162780158
236476,53.40517883,-6.162970302
236477,53.40519814,-6.162204022
236478,53.40520269,-6.16226677
236479,53.40520496,-6.162325714
236480,53.40520723,-6.16269079
236481,53.40520723,-6.162445505
236482,53.40520723,-6.162380856
236483,53.40521632,-6.162936076
236484,53.40521746,-6.162620437
236485,53.40523109,-6.162770651
236486,53.40523109,-6.162099443
236487,53.4052345,-6.162205924
236488,53.4052345,-6.162143176
236489,53.40525496,-6.162667973
236490,53.40528791,-6.162926569
236491,53.40529245,-6.162780158
236492,53.40532086,-6.162723115
236493,53.40535154,-6.162930372
236494,53.40535836,-6.162774454
236495,53.40538676,-6.162728819
236496,53.4053879,-6.162673677
236497,53.40540608,-6.162917061
236498,53.40546516,-6.162918963
236499,53.40553656,-6.162965944
236500,53.40557292,-6.162948831
236501,53.40557993,-6.162515858
236502,53.40559905,-6.1630401
236503,53.40560928,-6.162948831
236504,53.40562064,-6.162503895
236505,53.40563541,-6.163015382
236506,53.4056445,-6.162927916
236507,53.40565132,-6.162745377
236508,53.40566836,-6.162500092
236509,53.40567291,-6.162994466
236510,53.40567404,-6.162912704
236511,53.40567973,-6.162741575
236512,53.40571268,-6.162492486
236513,53.40571381,-6.162969747
236514,53.40571609,-6.162908901
236515,53.40571949,-6.162741575
236516,53.40574449,-6.162891788
236517,53.40575245,-6.162950733
236518,53.40575472,-6.163389965
236519,53.40575472,-6.16273587
236520,53.40575699,-6.162482979
236521,53.40578994,-6.16272256
236522,53.40579449,-6.162931718
236523,53.40580017,-6.162484881
236524,53.4058157,-6.162870952
236525,53.40581835,-6.16272256
236526,53.40583994,-6.162895591
236527,53.40584335,-6.162716856
236528,53.40584789,-6.162469669
236529,53.40585546,-6.162867149
236530,53.40586001,-6.163019264
236531,53.4058763,-6.16270925
236532,53.40589107,-6.162462063
236533,53.40589182,-6.162851937
236534,53.40590697,-6.162707349
236535,53.40591398,-6.160957154
236536,53.40591966,-6.161007067
236537,53.40592364,-6.162851937
236538,53.40592932,-6.162969826
236539,53.40593103,-6.161085501
236540,53.40594239,-6.161166313
236541,53.40594788,-6.162692137
236542,53.40594807,-6.161232863
236543,53.40594864,-6.162952713
236544,53.40596,-6.162825317
236545,53.40596085,-6.161297036
236546,53.40596369,-6.160860656
236547,53.40597008,-6.16092483
236548,53.40597704,-6.1629356
236549,53.40597861,-6.160989004
236550,53.40598424,-6.162686433
236551,53.4059921,-6.16106411
236552,53.40599494,-6.161144921
236553,53.40599778,-6.161213849
236554,53.40600318,-6.16292229
236555,53.40600772,-6.161297036
236556,53.40600914,-6.161365964
236557,53.40601198,-6.161444398
236558,53.40601492,-6.16268263
236559,53.4060205,-6.161513325
236560,53.40602334,-6.161591759
236561,53.40602704,-6.162905177
236562,53.40602704,-6.16281581
236563,53.40602903,-6.161663063
236564,53.40603329,-6.161743874
236565,53.40603897,-6.161810425
236566,53.40604039,-6.161881729
236567,53.40604787,-6.162673123
236568,53.40604891,-6.16196254
236569,53.40605175,-6.162033844
236570,53.40605317,-6.162884262
236571,53.40606946,-6.163633349
236572,53.4060793,-6.162810106
236573,53.40608044,-6.162861444
236574,53.40609105,-6.163722717
236575,53.40610582,-6.163281583
236576,53.40610655,-6.164075125
236577,53.40610809,-6.163610532
236578,53.40610832,-6.164015705
236579,53.40611339,-6.162796796
236580,53.4061314,-6.164235559
236581,53.40614205,-6.164303892
236582,53.40616336,-6.164523745
236583,53.40616611,-6.163888237
236584,53.40617172,-6.163270174
236585,53.40617224,-6.164140487
236586,53.40617605,-6.163452033
236587,53.40617934,-6.164868381
236588,53.40618111,-6.164223675
236589,53.40618466,-6.164312805
236590,53.40619672,-6.163441304
236591,53.40621129,-6.163861213
236592,53.40623071,-6.162943325
236593,53.40625663,-6.162609979
236594,53.40626621,-6.162925499
236595,53.40628042,-6.162800717
236596,53.40628941,-6.163362086
236597,53.4063106,-6.162919557
236598,53.4063106,-6.162586211
236599,53.40631415,-6.162773978
236600,53.40632314,-6.163213536
236601,53.40636031,-6.162889847
236602,53.40637025,-6.162595718
236603,53.40637818,-6.163665127
236604,53.40640824,-6.162883905
236605,53.40642983,-6.163889888
236606,53.40643352,-6.163975293
236607,53.40644695,-6.162581458
236608,53.4064473,-6.162866079
236609,53.40644742,-6.163317521
236610,53.40644919,-6.164202878
236611,53.40645629,-6.164045415
236612,53.40648919,-6.160045077
236613,53.40649346,-6.162851224
236614,53.40650423,-6.16406027
236615,53.40652612,-6.160047454
236616,53.40652897,-6.162830427
236617,53.40654921,-6.16255769
236618,53.40656637,-6.163302666
236619,53.40656873,-6.160052208
236620,53.40657158,-6.162818543
236621,53.40661133,-6.160047454
236622,53.40661454,-6.162543429
236623,53.40662661,-6.162788833
236624,53.40665513,-6.163656214
236625,53.40666104,-6.160056961
236626,53.40668271,-6.162524415
236627,53.4066872,-6.162611258
236628,53.40669952,-6.164401935
236629,53.40670081,-6.160054584
236630,53.40674236,-6.1625054
236631,53.40674484,-6.160061715
236632,53.40675594,-6.162596356
236633,53.40680705,-6.160066468
236634,53.40681622,-6.162495893
236635,53.40684031,-6.16259272
236636,53.40684966,-6.160073599
236637,53.4068725,-6.160717394
236638,53.40688006,-6.159120642
236639,53.4068906,-6.160074569
236640,53.40692132,-6.162472125
236641,53.40692894,-6.160150627
236642,53.40693036,-6.160074569
236643,53.4069332,-6.160225496
236644,53.4069351,-6.159102816
236645,53.40693675,-6.160299177
236646,53.40693746,-6.160368104
236647,53.40694244,-6.160527349
236648,53.40696073,-6.162638501
236649,53.40696073,-6.160600764
236650,53.40699723,-6.15908499
236651,53.40699783,-6.160332452
236652,53.40701061,-6.16027422
236653,53.40701345,-6.160713928
236654,53.40702404,-6.162616158
236655,53.40702694,-6.160204105
236656,53.40703452,-6.158989918
