id,POINT_Y,POINT_X
270200,53.38768632,-6.305523988
270201,53.38769058,-6.305377815
270202,53.38771335,-6.308822786
270203,53.38771829,-6.305527553
270204,53.38772255,-6.305317207
270205,53.38772468,-6.306401026
270206,53.38772681,-6.305573901
270207,53.3877396,-6.305909029
270208,53.3877396,-6.305723639
270209,53.38774223,-6.308338809
270210,53.3877737,-6.305791378
270211,53.38778436,-6.305848421
270212,53.38780713,-6.309343022
270213,53.38782394,-6.306315561
270214,53.38782986,-6.308763084
270215,53.38783282,-6.308309099
270216,53.38785946,-6.3084012
270217,53.387879,-6.308261563
270218,53.387879,-6.306300706
270219,53.38788433,-6.308742865
270220,53.38789522,-6.308891431
270221,53.38793217,-6.30906256
270222,53.38793761,-6.306303677
270223,53.38795537,-6.308095188
270224,53.38796059,-6.309262211
270225,53.38797799,-6.305808313
270226,53.38797846,-6.307973377
270227,53.38798912,-6.308377432
270228,53.38798912,-6.306300706
270229,53.38799089,-6.30789316
270230,53.38800333,-6.306624544
270231,53.38801398,-6.306511646
270232,53.38802642,-6.308350693
270233,53.3880353,-6.308448736
270234,53.38803885,-6.307875334
270235,53.3880424,-6.306395778
270236,53.38805306,-6.306660196
270237,53.38805839,-6.308077362
270238,53.38806324,-6.305719183
270239,53.3880726,-6.308564605
270240,53.38808325,-6.307171208
270241,53.3880868,-6.308110043
270242,53.3880868,-6.307830769
270243,53.38808858,-6.308344751
270244,53.38810457,-6.307916928
270245,53.38811167,-6.307397003
270246,53.38811866,-6.305726313
270247,53.3881241,-6.30852004
270248,53.38813654,-6.308618083
270249,53.38814542,-6.30789316
270250,53.38814719,-6.307988232
270251,53.38814897,-6.307812943
270252,53.38816881,-6.308261563
270253,53.38816881,-6.307720842
270254,53.38820178,-6.305697791
270255,53.38822357,-6.308380403
270256,53.38824133,-6.306113533
270257,53.38828218,-6.308505185
270258,53.38829639,-6.308570547
270259,53.3883106,-6.308689387
270260,53.38833546,-6.307622799
270261,53.38834515,-6.309054864
270262,53.38836388,-6.307581205
270263,53.38837549,-6.308896185
270264,53.38838697,-6.307438597
270265,53.3883897,-6.309057807
270266,53.38839786,-6.305790487
270267,53.38842249,-6.307905044
270268,53.38844262,-6.305786921
270269,53.38844475,-6.30585466
270270,53.38845624,-6.30729599
270271,53.38846334,-6.307340555
270272,53.38846334,-6.307215773
270273,53.38847672,-6.305804747
270274,53.38849886,-6.307762436
270275,53.38851662,-6.30699889
270276,53.38854504,-6.306080852
270277,53.38856458,-6.306725558
270278,53.38861076,-6.307489104
270279,53.38864983,-6.307795117
270280,53.38868239,-6.306722191
270281,53.38869601,-6.308127869
270282,53.38870312,-6.308181347
270283,53.38870844,-6.307988232
270284,53.38872088,-6.308383374
270285,53.38873864,-6.308454678
270286,53.38877771,-6.307429684
270287,53.3888008,-6.307554466
270288,53.38889908,-6.306243861
270289,53.38890441,-6.306998494
270290,53.38890973,-6.307580809
270291,53.38891861,-6.306653858
270292,53.38895058,-6.307485737
270293,53.38897545,-6.306861828
270294,53.38899676,-6.306745959
270295,53.3890092,-6.306918277
270296,53.38901275,-6.306282484
270297,53.3890163,-6.307782837
270298,53.38902518,-6.308124502
270299,53.38905537,-6.30683806
270300,53.38906425,-6.307931387
270301,53.38906425,-6.307785808
270302,53.38906603,-6.308258196
270303,53.38906603,-6.308100734
270304,53.38907491,-6.306737046
270305,53.3890909,-6.308614716
270306,53.38909445,-6.308261167
270307,53.38911221,-6.308751382
270308,53.38921877,-6.306490453
270309,53.38923379,-6.306960895
270310,53.3892614,-6.307675881
270311,53.38930402,-6.306656829
270312,53.38935553,-6.307444143
270313,53.38936086,-6.307705591
270314,53.38938217,-6.306858857
270315,53.38938572,-6.307453056
270316,53.38939105,-6.30740552
270317,53.38939897,-6.306618196
270318,53.38941769,-6.307010378
270319,53.3894302,-6.306724363
270320,53.38944403,-6.306777517
270321,53.38945676,-6.306836682
270322,53.38946565,-6.307729359
270323,53.38947275,-6.308525586
270324,53.38950479,-6.307121195
270325,53.38951232,-6.306981664
270326,53.38951559,-6.3072958
270327,53.38952639,-6.307386866
270328,53.38952728,-6.307197874
270329,53.38952837,-6.307022797
270330,53.38953434,-6.307444232
270331,53.38955145,-6.307141222
270332,53.38955694,-6.307528864
270333,53.38956333,-6.308163124
270334,53.38956483,-6.30724611
270335,53.38957297,-6.307317391
270336,53.38958642,-6.307767982
270337,53.38959495,-6.307441828
270338,53.38959978,-6.307531142
270339,53.38970009,-6.307506534
270340,53.38975131,-6.308362356
270341,53.38988551,-6.307413839
270342,53.38988764,-6.307039494
270343,53.3898919,-6.307563577
270344,53.38989403,-6.307196362
270345,53.3899601,-6.307873749
270346,53.38997715,-6.307371057
270347,53.38998781,-6.307438795
270348,53.39000486,-6.307353231
270349,53.39000912,-6.307485143
270350,53.39001765,-6.307445926
270351,53.39003043,-6.30733184
270352,53.3900347,-6.307488708
