id,POINT_Y,POINT_X
0,53.32905758,-6.248367013
1,53.32908966,-6.248543664
2,53.32915152,-6.248480749
3,53.32918215,-6.248444403
4,53.32948807,-6.248462229
5,53.32956841,-6.248528821
6,53.32844913,-6.248362205
7,53.32854692,-6.248313255
8,53.32860005,-6.248368281
9,53.32714576,-6.249164327
10,53.32678656,-6.249335533
11,53.32653469,-6.249323649
12,53.32862009,-6.248502521
13,53.32872592,-6.248518842
14,53.32706784,-6.248986495
15,53.32723157,-6.249160812
16,53.32726691,-6.249045049
17,53.3273026,-6.248930835
18,53.32737398,-6.24895225
19,53.32738819,-6.248826112
20,53.32904817,-6.248179899
21,53.32867449,-6.248553329
22,53.3282359,-6.24844517
23,53.32826753,-6.248526499
24,53.32828604,-6.248617502
25,53.32851501,-6.248537017
26,53.32862664,-6.248624603
27,53.32869361,-6.248715608
28,53.32943827,-6.24840578
29,53.32948989,-6.248407468
30,53.32959013,-6.248421465
31,53.32932266,-6.248096796
32,53.32934238,-6.248186048
33,53.32939558,-6.248090854
34,53.32943518,-6.248136079
35,53.32946669,-6.248048342
36,53.32950135,-6.248270969
37,53.32956792,-6.248269831
38,53.32960191,-6.248252548
39,53.32960924,-6.248174326
40,53.32976252,-6.248043451
41,53.33001822,-6.247998084
42,53.33010388,-6.248026637
43,53.33011768,-6.247966073
44,53.33014657,-6.24830505
45,53.33017637,-6.248298824
46,53.33025791,-6.247957718
47,53.33030788,-6.248093347
48,53.3303293,-6.248186146
49,53.32571344,-6.253667718
50,53.3258697,-6.253565803
51,53.32593888,-6.253336565
52,53.32597332,-6.252765154
53,53.32598554,-6.253177902
54,53.32598554,-6.253177902
55,53.32600515,-6.25303549
56,53.32603218,-6.253247025
57,53.32603218,-6.252695608
58,53.3261446,-6.253120104
59,53.32614919,-6.2530441
60,53.32617164,-6.25255205
61,53.32618334,-6.252946651
62,53.32620294,-6.253289807
63,53.3262061,-6.252602016
64,53.32620895,-6.252523581
65,53.32621891,-6.252890172
66,53.3262246,-6.253141549
67,53.32623172,-6.25322949
68,53.32623852,-6.252997937
69,53.32625844,-6.253389633
70,53.32626587,-6.253310301
71,53.3262869,-6.25351085
72,53.32628864,-6.25292526
73,53.32632279,-6.253460039
74,53.32632816,-6.252834888
75,53.32634239,-6.253598791
76,53.32634698,-6.253671574
77,53.32634951,-6.253126284
78,53.32637227,-6.253199964
79,53.32638793,-6.253111548
80,53.32639789,-6.25375566
81,53.32639821,-6.253852211
82,53.32641212,-6.25322088
83,53.32641212,-6.25286341
84,53.32641481,-6.252724073
85,53.32641528,-6.253654937
86,53.32642809,-6.25292526
87,53.32643093,-6.253445779
88,53.32643489,-6.253166214
89,53.32645655,-6.253716734
90,53.32650193,-6.253931241
91,53.3265113,-6.253499476
92,53.32651193,-6.254141655
93,53.3265162,-6.252891459
94,53.32653896,-6.251798133
95,53.32654642,-6.252065663
96,53.32654762,-6.251891353
97,53.32657454,-6.252860561
98,53.3266115,-6.253423883
99,53.32662719,-6.251646018
100,53.32664711,-6.252967517
101,53.32667284,-6.253025086
102,53.32667414,-6.251741089
103,53.32668306,-6.252641742
104,53.32668411,-6.253105371
105,53.32669407,-6.251617496
106,53.32669549,-6.253414355
107,53.32669976,-6.253238472
108,53.32669976,-6.252862938
109,53.3267026,-6.253711454
110,53.32671268,-6.25280642
111,53.32671399,-6.253326413
112,53.32673426,-6.251836333
113,53.32674245,-6.251769611
114,53.32675241,-6.253554586
115,53.3267572,-6.252817331
116,53.32675952,-6.254072728
117,53.32676802,-6.252398223
118,53.32678229,-6.252176043
119,53.32678241,-6.25244277
120,53.32679654,-6.254302035
121,53.32679794,-6.251667409
122,53.32680874,-6.251466253
123,53.32682356,-6.252879575
124,53.32683636,-6.251788625
125,53.32685026,-6.254105696
126,53.32687478,-6.251684046
127,53.32687478,-6.251505787
128,53.32688047,-6.252862938
129,53.32690193,-6.251601384
130,53.3269141,-6.252131665
131,53.32691605,-6.254127394
132,53.32692459,-6.252069087
133,53.3269261,-6.253568332
134,53.32694024,-6.253383456
135,53.32694889,-6.252107642
136,53.32695447,-6.252834416
137,53.32696104,-6.25428191
138,53.32696727,-6.251912219
139,53.32698115,-6.25097322
140,53.32701138,-6.251855176
141,53.32701594,-6.252265736
142,53.3270193,-6.252008196
143,53.32702561,-6.253559339
144,53.32702704,-6.252827286
145,53.32704696,-6.253385833
146,53.32707969,-6.251878944
147,53.32711811,-6.251890828
148,53.32711953,-6.252827286
149,53.32715226,-6.251907465
150,53.3271551,-6.251260976
151,53.32716222,-6.25254207
152,53.32716376,-6.250952518
153,53.32716649,-6.25448629
154,53.3271736,-6.253516557
155,53.32717502,-6.254567101
156,53.32717929,-6.250900179
157,53.32718652,-6.251211589
158,53.32718795,-6.252830188
159,53.32720064,-6.251111714
160,53.32722881,-6.252787831
161,53.32725198,-6.252896739
162,53.32725341,-6.253378594
163,53.32725482,-6.252815927
164,53.32725869,-6.254361984
165,53.32726763,-6.251052344
166,53.32727292,-6.250964827
167,53.32727686,-6.253518254
168,53.3273217,-6.250954895
169,53.32732637,-6.251054211
170,53.32733018,-6.251411561
171,53.32733269,-6.253382743
172,53.32737676,-6.250987799
173,53.32737822,-6.253772538
