Unnamed: 0,id,POINT_Y,POINT_X,geometry,index_right,postcodes
3999,3999,53.34150584,-6.325893708,POINT (-6.325893708 53.34150584),2,Dublin 10
4000,4000,53.34151494,-6.325749199,POINT (-6.325749199 53.34151494),2,Dublin 10
4001,4001,53.3415525,-6.325667437,POINT (-6.325667437 53.3415525),2,Dublin 10
4002,4002,53.34156501,-6.325532435,POINT (-6.325532435 53.34156501),2,Dublin 10
4003,4003,53.34156729,-6.325937441,POINT (-6.325937441 53.34156729),2,Dublin 10
4004,4004,53.34157184,-6.325431659,POINT (-6.325431659 53.34157184),2,Dublin 10
4005,4005,53.34160712,-6.325271938,POINT (-6.325271938 53.34160712),2,Dublin 10
4006,4006,53.3416276,-6.32515595,POINT (-6.32515595 53.3416276),2,Dublin 10
4007,4007,53.34165833,-6.32600209,POINT (-6.32600209 53.34165833),2,Dublin 10
4008,4008,53.34168564,-6.324707211,POINT (-6.324707211 53.34168564),2,Dublin 10
4009,4009,53.34171978,-6.326066739,POINT (-6.326066739 53.34171978),2,Dublin 10
4010,4010,53.34171978,-6.325013343,POINT (-6.325013343 53.34171978),2,Dublin 10
4011,4011,53.34173798,-6.324872636,POINT (-6.324872636 53.34173798),2,Dublin 10
4012,4012,53.34177554,-6.325041864,POINT (-6.325041864 53.34177554),2,Dublin 10
4013,4013,53.34178464,-6.326062936,POINT (-6.326062936 53.34178464),2,Dublin 10
4014,4014,53.34180512,-6.32618653,POINT (-6.32618653 53.34180512),2,Dublin 10
4016,4016,53.34181992,-6.32514264,POINT (-6.32514264 53.34181992),2,Dublin 10
4017,4017,53.34183585,-6.325224402,POINT (-6.325224402 53.34183585),2,Dublin 10
4018,4018,53.34185975,-6.325323277,POINT (-6.325323277 53.34185975),2,Dublin 10
4019,4019,53.34190754,-6.325403137,POINT (-6.325403137 53.34190754),2,Dublin 10
4021,4021,53.34191892,-6.325473491,POINT (-6.325473491 53.34191892),2,Dublin 10
4022,4022,53.34192689,-6.325585675,POINT (-6.325585675 53.34192689),2,Dublin 10
4023,4023,53.34193599,-6.325667437,POINT (-6.325667437 53.34193599),2,Dublin 10
4024,4024,53.34193826,-6.325969766,POINT (-6.325969766 53.34193826),2,Dublin 10
4025,4025,53.34194282,-6.325836665,POINT (-6.325836665 53.34194282),2,Dublin 10
4026,4026,53.34194964,-6.326112374,POINT (-6.326112374 53.34194964),2,Dublin 10
24233,24233,53.32910105,-6.377666605,POINT (-6.377666605 53.32910105),2,Dublin 10
24234,24234,53.32910674,-6.377571533,POINT (-6.377571533 53.32910674),2,Dublin 10
24235,24235,53.32911812,-6.377367128,POINT (-6.377367128 53.32911812),2,Dublin 10
24242,24242,53.3293657,-6.377999356,POINT (-6.377999356 53.3293657),2,Dublin 10
24244,24244,53.32941408,-6.378042139,POINT (-6.378042139 53.32941408),2,Dublin 10
24245,24245,53.32948522,-6.378103936,POINT (-6.378103936 53.32948522),2,Dublin 10
24248,24248,53.32956775,-6.3781895,POINT (-6.3781895 53.32956775),2,Dublin 10
24253,24253,53.32976611,-6.376596549,POINT (-6.376596549 53.32976611),2,Dublin 10
24254,24254,53.32978687,-6.37842005,POINT (-6.37842005 53.32978687),2,Dublin 10
24257,24257,53.32984094,-6.376042064,POINT (-6.376042064 53.32984094),2,Dublin 10
24258,24258,53.32985433,-6.378474219,POINT (-6.378474219 53.32985433),2,Dublin 10
24259,24259,53.32985588,-6.375892326,POINT (-6.375892326 53.32985588),2,Dublin 10
24261,24261,53.32989702,-6.378517001,POINT (-6.378517001 53.32989702),2,Dublin 10
24263,24263,53.32995761,-6.378624454,POINT (-6.378624454 53.32995761),2,Dublin 10
24268,24268,53.33008168,-6.376861821,POINT (-6.376861821 53.33008168),2,Dublin 10
24269,24269,53.33008851,-6.37873854,POINT (-6.37873854 53.33008851),2,Dublin 10
24272,24272,53.33010843,-6.37690603,POINT (-6.37690603 53.33010843),2,Dublin 10
24273,24273,53.33013405,-6.376825219,POINT (-6.376825219 53.33013405),2,Dublin 10
24274,24274,53.33013567,-6.376739429,POINT (-6.376739429 53.33013567),2,Dublin 10
