id,POINT_Y,POINT_X
101325,53.32491385,-6.233035562
101326,53.32496579,-6.232879853
101327,53.32497205,-6.232967715
101328,53.32497219,-6.233261329
101329,53.32503623,-6.232976113
101330,53.32503984,-6.232871472
101331,53.32509016,-6.233126961
101332,53.32510027,-6.232886983
101333,53.32512004,-6.232787079
101334,53.32512801,-6.23273368
101335,53.32520272,-6.23337185
101336,53.32521126,-6.232762201
101337,53.32523104,-6.232708644
101338,53.32526676,-6.232676636
101339,53.32528084,-6.233110323
101340,53.32528227,-6.232929687
101341,53.32532496,-6.233300467
101342,53.32533079,-6.233108025
101343,53.3253372,-6.232904809
101344,53.32533933,-6.233396806
101345,53.32535769,-6.23262308
101346,53.32536921,-6.233339763
101347,53.3253833,-6.233098439
101348,53.32539326,-6.232825108
101349,53.32544819,-6.232765766
101350,53.3254516,-6.233017628
101351,53.32549942,-6.233011765
101352,53.32553983,-6.232913049
101353,53.32554638,-6.232965417
101354,53.32559771,-6.232854896
101355,53.32559771,-6.232854896
101356,53.32094238,-6.229311884
101357,53.32104022,-6.229282174
101358,53.32105915,-6.229325996
101359,53.32110201,-6.229537359
101360,53.32110426,-6.229439637
101361,53.32112193,-6.229389998
101362,53.32117601,-6.229589649
101363,53.32118431,-6.229466376
101364,53.32119024,-6.229413766
101365,53.32119676,-6.229641664
101366,53.3212021,-6.229525795
101367,53.3212655,-6.229641546
101368,53.32131833,-6.229715144
101369,53.32132307,-6.229674345
101370,53.32133552,-6.229813982
101371,53.32135865,-6.229721881
101372,53.32140846,-6.229608983
101373,53.32140938,-6.229721379
101374,53.32154603,-6.229737961
101375,53.32179162,-6.230223475
101376,53.32189223,-6.230336876
101377,53.32192434,-6.230387385
101378,53.3219643,-6.230402348
101379,53.32201212,-6.230343404
101380,53.32246178,-6.230875183
101381,53.32247601,-6.230960748
101382,53.32250889,-6.230994514
101383,53.32282983,-6.231340294
101384,53.32288192,-6.23138898
101385,53.32457332,-6.233079425
101386,53.32473526,-6.23320072
101387,53.32490659,-6.233293337
101388,53.32524527,-6.233497741
101389,53.3252753,-6.233525153
101390,53.32531799,-6.23356437
101391,53.32450473,-6.233186459
101392,53.32460932,-6.233257763
101393,53.32468716,-6.233367017
101394,53.32482662,-6.233388408
101395,53.32493078,-6.233607074
101396,53.32497006,-6.233578631
101397,53.3252198,-6.233567935
101398,53.3252753,-6.233699848
101399,53.32530945,-6.23383889
101400,53.32532496,-6.233690262
101401,53.32535427,-6.234020715
101402,53.32537348,-6.233945846
101403,53.32543026,-6.234042028
101404,53.32543538,-6.233935151
101405,53.32544859,-6.233847608
101406,53.32546527,-6.234134802
101407,53.3254738,-6.234031411
101408,53.32553271,-6.234132346
101409,53.32559771,-6.234084889
101410,53.32559771,-6.234084889
101411,53.32567188,-6.234365272
101412,53.32572197,-6.23446177
101413,53.32574474,-6.234173227
101414,53.32575129,-6.234020715
101415,53.3301704,-6.32698462
101416,53.3306186,-6.327174288
101417,53.33088653,-6.327490769
101418,53.33107313,-6.327897439
101419,53.33109476,-6.3278461
101420,53.33111646,-6.327715138
101421,53.33113695,-6.327663799
101422,53.33114491,-6.328158173
101423,53.33117565,-6.328084017
101424,53.33124053,-6.327964227
101425,53.3312576,-6.327659997
101426,53.33127695,-6.32778359
101427,53.33130427,-6.327853943
101428,53.33131906,-6.327922395
101429,53.33136915,-6.32769042
101430,53.33137825,-6.327808309
101431,53.33138347,-6.328518733
101432,53.33138774,-6.328485458
101433,53.33139485,-6.328554385
101434,53.33139874,-6.327964227
101435,53.33141582,-6.327612461
101436,53.33143754,-6.328433169
101437,53.33144039,-6.328663921
101438,53.3314511,-6.327707532
101439,53.33147159,-6.328433882
101440,53.3314734,-6.32866202
101441,53.33148639,-6.327891972
101442,53.33150118,-6.327694222
101443,53.33150346,-6.327785491
101444,53.33155876,-6.328732373
101445,53.33156317,-6.328524165
101446,53.33159405,-6.328667724
101447,53.33171698,-6.328766599
101448,53.33171698,-6.328677231
101449,53.33174302,-6.328178341
101450,53.33176023,-6.32871526
101451,53.33180348,-6.328622089
101452,53.33181373,-6.328899699
101453,53.33185584,-6.328597371
101454,53.33187975,-6.328789416
101455,53.33189568,-6.328694344
101456,53.33192414,-6.328916812
101457,53.33193324,-6.328580258
101458,53.33193324,-6.328521313
101459,53.33194235,-6.328806529
101460,53.3319617,-6.328684837
101461,53.33197102,-6.328494461
101462,53.33198788,-6.328576455
101463,53.3320095,-6.328829346
101464,53.33203341,-6.32895294
101465,53.33204479,-6.328709556
101466,53.33210099,-6.32843147
101467,53.33211763,-6.328713358
101468,53.33216203,-6.328835051
101469,53.33217028,-6.328424815
101470,53.33219731,-6.328913009
101471,53.32583304,-6.234830081
101472,53.32596673,-6.234899101
101473,53.32605002,-6.234954084
101474,53.32610351,-6.234883264
101475,53.32654039,-6.235322887
101476,53.32655319,-6.235213554
101477,53.3264698,-6.235049155
101478,53.3265105,-6.23512799
101479,53.32654272,-6.235081836
101480,53.32381655,-6.236219649
