Unnamed: 0,id,POINT_Y,POINT_X,geometry,index_right,postcodes
4,4,53.32948807,-6.248462229,POINT (-6.248462229 53.32948807),16,Dublin 4
5,5,53.32956841,-6.248528821,POINT (-6.248528821 53.32956841),16,Dublin 4
28,28,53.32943827,-6.24840578,POINT (-6.24840578 53.32943827),16,Dublin 4
29,29,53.32948989,-6.248407468,POINT (-6.248407468 53.32948989),16,Dublin 4
30,30,53.32959013,-6.248421465,POINT (-6.248421465 53.32959013),16,Dublin 4
31,31,53.32932266,-6.248096796,POINT (-6.248096796 53.32932266),16,Dublin 4
32,32,53.32934238,-6.248186048,POINT (-6.248186048 53.32934238),16,Dublin 4
33,33,53.32939558,-6.248090854,POINT (-6.248090854 53.32939558),16,Dublin 4
34,34,53.32943518,-6.248136079,POINT (-6.248136079 53.32943518),16,Dublin 4
35,35,53.32946669,-6.248048342,POINT (-6.248048342 53.32946669),16,Dublin 4
36,36,53.32950135,-6.248270969,POINT (-6.248270969 53.32950135),16,Dublin 4
37,37,53.32956792,-6.248269831,POINT (-6.248269831 53.32956792),16,Dublin 4
38,38,53.32960191,-6.248252548,POINT (-6.248252548 53.32960191),16,Dublin 4
39,39,53.32960924,-6.248174326,POINT (-6.248174326 53.32960924),16,Dublin 4
40,40,53.32976252,-6.248043451,POINT (-6.248043451 53.32976252),16,Dublin 4
41,41,53.33001822,-6.247998084,POINT (-6.247998084 53.33001822),16,Dublin 4
42,42,53.33010388,-6.248026637,POINT (-6.248026637 53.33010388),16,Dublin 4
43,43,53.33011768,-6.247966073,POINT (-6.247966073 53.33011768),16,Dublin 4
44,44,53.33014657,-6.24830505,POINT (-6.24830505 53.33014657),16,Dublin 4
45,45,53.33017637,-6.248298824,POINT (-6.248298824 53.33017637),16,Dublin 4
46,46,53.33025791,-6.247957718,POINT (-6.247957718 53.33025791),16,Dublin 4
47,47,53.33030788,-6.248093347,POINT (-6.248093347 53.33030788),16,Dublin 4
48,48,53.3303293,-6.248186146,POINT (-6.248186146 53.3303293),16,Dublin 4
4471,4471,53.33537615,-6.237555277,POINT (-6.237555277 53.33537615),16,Dublin 4
4472,4472,53.33540935,-6.237640459,POINT (-6.237640459 53.33540935),16,Dublin 4
4473,4473,53.33536135,-6.237639168,POINT (-6.237639168 53.33536135),16,Dublin 4
4474,4474,53.33542032,-6.237767053,POINT (-6.237767053 53.33542032),16,Dublin 4
4475,4475,53.3347133,-6.237300375,POINT (-6.237300375 53.3347133),16,Dublin 4
4476,4476,53.33483103,-6.237294635,POINT (-6.237294635 53.33483103),16,Dublin 4
4477,4477,53.33490572,-6.237316026,POINT (-6.237316026 53.33490572),16,Dublin 4
4478,4478,53.33497871,-6.237396586,POINT (-6.237396586 53.33497871),16,Dublin 4
4479,4479,53.33520662,-6.237596283,POINT (-6.237596283 53.33520662),16,Dublin 4
4480,4480,53.33531332,-6.237626198,POINT (-6.237626198 53.33531332),16,Dublin 4
4481,4481,53.33533591,-6.238299741,POINT (-6.238299741 53.33533591),16,Dublin 4
4482,4482,53.33544724,-6.238430236,POINT (-6.238430236 53.33544724),16,Dublin 4
