Unnamed: 0,id,POINT_Y,POINT_X,geometry,index_right,postcodes
24051,24051,53.33780091,-6.260850052,POINT (-6.260850052 53.33780091),11,Dublin 2
24052,24052,53.33783932,-6.261042573,POINT (-6.261042573 53.33783932),11,Dublin 2
24053,24053,53.33784146,-6.260889269,POINT (-6.260889269 53.33784146),11,Dublin 2
24054,24054,53.33784146,-6.260778748,POINT (-6.260778748 53.33784146),11,Dublin 2
24055,24055,53.33795455,-6.26108179,POINT (-6.26108179 53.33795455),11,Dublin 2
24056,24056,53.33799083,-6.260878574,POINT (-6.260878574 53.33799083),11,Dublin 2
24057,24057,53.33805047,-6.261187702,POINT (-6.261187702 53.33805047),11,Dublin 2
24058,24058,53.33805982,-6.261298603,POINT (-6.261298603 53.33805982),11,Dublin 2
24059,24059,53.33808268,-6.261042186,POINT (-6.261042186 53.33808268),11,Dublin 2
24060,24060,53.33813227,-6.260795787,POINT (-6.260795787 53.33813227),11,Dublin 2
24061,24061,53.33814184,-6.260897908,POINT (-6.260897908 53.33814184),11,Dublin 2
24062,24062,53.33816451,-6.261180678,POINT (-6.261180678 53.33816451),11,Dublin 2
24063,24063,53.33818188,-6.261036029,POINT (-6.261036029 53.33818188),11,Dublin 2
24064,24064,53.33821994,-6.261336522,POINT (-6.261336522 53.33821994),11,Dublin 2
24065,24065,53.33823307,-6.260869443,POINT (-6.260869443 53.33823307),11,Dublin 2
24066,24066,53.33825041,-6.261146443,POINT (-6.261146443 53.33825041),11,Dublin 2
24067,24067,53.33829704,-6.261109166,POINT (-6.261109166 53.33829704),11,Dublin 2
24068,24068,53.33831501,-6.261324746,POINT (-6.261324746 53.33831501),11,Dublin 2
24069,24069,53.33832757,-6.261011933,POINT (-6.261011933 53.33832757),11,Dublin 2
24070,24070,53.33837617,-6.261108001,POINT (-6.261108001 53.33837617),11,Dublin 2
24071,24071,53.33839205,-6.261285087,POINT (-6.261285087 53.33839205),11,Dublin 2
24072,24072,53.33844244,-6.261549635,POINT (-6.261549635 53.33844244),11,Dublin 2
24073,24073,53.3384773,-6.261203861,POINT (-6.261203861 53.3384773),11,Dublin 2
24074,24074,53.33850824,-6.261502525,POINT (-6.261502525 53.33850824),11,Dublin 2
24075,24075,53.33856383,-6.261632085,POINT (-6.261632085 53.33856383),11,Dublin 2
24076,24076,53.33863711,-6.261582447,POINT (-6.261582447 53.33863711),11,Dublin 2
24077,24077,53.33838062,-6.260835834,POINT (-6.260835834 53.33838062),11,Dublin 2
24078,24078,53.3383984,-6.260996268,POINT (-6.260996268 53.3383984),11,Dublin 2
24079,24079,53.33844651,-6.260916299,POINT (-6.260916299 53.33844651),11,Dublin 2
24080,24080,53.33848478,-6.261029376,POINT (-6.261029376 53.33848478),11,Dublin 2
24081,24081,53.33851143,-6.260801813,POINT (-6.260801813 53.33851143),11,Dublin 2
24082,24082,53.33853467,-6.261034902,POINT (-6.261034902 53.33853467),11,Dublin 2
24083,24083,53.33859465,-6.261142631,POINT (-6.261142631 53.33859465),11,Dublin 2
24084,24084,53.33863125,-6.260994808,POINT (-6.260994808 53.33863125),11,Dublin 2
24085,24085,53.33869504,-6.261533433,POINT (-6.261533433 53.33869504),11,Dublin 2
